ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,AQI_Category
2015-01-01,298.37152,353.2036845912528,526.2929928106978,298.37152,298.37152,144.75860819266236,144.75860819266236,144.75860819266236,3.861980131999436,3.861980131999436,3.861980131999436,140.89662806066295,140.89662806066295,140.89662806066295,0.0,0.0,0.0,443.13012819266237,Severe
2015-01-02,298.3721449061155,355.0280622950173,530.9381779880426,298.3721449061155,298.3721449061155,146.64248552541306,146.64248552541306,146.64248552541306,6.482667969733831,6.482667969733831,6.482667969733831,140.15981755567924,140.15981755567924,140.15981755567924,0.0,0.0,0.0,445.0146304315286,Severe
2015-01-03,298.37276981223107,348.92986014583926,525.9846371233322,298.37276981223107,298.37276981223107,140.35447088498813,140.35447088498813,140.35447088498813,1.3567580495081706,1.3567580495081706,1.3567580495081706,138.99771283547994,138.99771283547994,138.99771283547994,0.0,0.0,0.0,438.7272406972192,Severe
2015-01-04,298.3733947183466,347.5927473933146,519.321926589632,298.3733947183466,298.3733947183466,134.0922756322532,134.0922756322532,134.0922756322532,-3.3323549946649695,-3.3323549946649695,-3.3323549946649695,137.4246306269182,137.4246306269182,137.4246306269182,0.0,0.0,0.0,432.4656703505998,Severe
2015-01-05,298.37401962446216,334.0429309313791,524.2632059367971,298.37401962446216,298.37401962446216,129.32362218033722,129.32362218033722,129.32362218033722,-6.136635007698071,-6.136635007698071,-6.136635007698071,135.4602571880353,135.4602571880353,135.4602571880353,0.0,0.0,0.0,427.6976418047994,Severe
2015-01-06,298.37464453057765,337.52627037783554,514.0568094593206,298.37464453057765,298.37464453057765,129.85705695295664,129.85705695295664,129.85705695295664,-3.2722346784591814,-3.2722346784591814,-3.2722346784591814,133.1292916314158,133.1292916314158,133.1292916314158,0.0,0.0,0.0,428.23170148353427,Severe
2015-01-07,298.3752694366932,338.79680501973087,514.6098108783624,298.3752694366932,298.3752694366932,131.50083370396447,131.50083370396447,131.50083370396447,1.0398185295801465,1.0398185295801465,1.0398185295801465,130.46101517438433,130.46101517438433,130.46101517438433,0.0,0.0,0.0,429.8761031406577,Severe
2015-01-08,298.37589434280875,344.112212615107,513.2836275176477,298.37589434280875,298.37589434280875,131.35077244017145,131.35077244017145,131.35077244017145,3.8619801320010385,3.8619801320010385,3.8619801320010385,127.48879230817043,127.48879230817043,127.48879230817043,0.0,0.0,0.0,429.7266667829802,Severe
2015-01-09,298.3765192489243,341.8698704381288,515.9838784885117,298.3765192489243,298.3765192489243,130.73217890251877,130.73217890251877,130.73217890251877,6.48266796973232,6.48266796973232,6.48266796973232,124.24951093278646,124.24951093278646,124.24951093278646,0.0,0.0,0.0,429.10869815144304,Severe
2015-01-10,298.37714415503984,331.51730013929324,504.85006073478036,298.37714415503984,298.37714415503984,122.13972753515894,122.13972753515894,122.13972753515894,1.3567580495027918,1.3567580495027918,1.3567580495027918,120.78296948565615,120.78296948565615,120.78296948565615,0.0,0.0,0.0,420.5168716901988,Severe
2015-01-11,298.37776906115533,325.4422942386404,492.7043626879731,298.37776906115533,298.37776906115533,113.79886499085316,113.79886499085316,113.79886499085316,-3.3323549946691977,-3.3323549946691977,-3.3323549946691977,117.13121998552238,117.13121998552238,117.13121998552238,0.0,0.0,0.0,412.17663405200847,Severe
2015-01-12,298.3783939672709,316.46437795677286,497.62705944895066,298.3783939672709,298.3783939672709,107.2012416943726,107.2012416943726,107.2012416943726,-6.136635007702756,-6.136635007702756,-6.136635007702756,113.33787670207536,113.33787670207536,113.33787670207536,0.0,0.0,0.0,405.57963566164347,Severe
2015-01-13,298.3790188733864,315.08764026835644,492.3038392081013,298.3790188733864,298.3790188733864,106.17516615431957,106.17516615431957,106.17516615431957,-3.2722346784576057,-3.2722346784576057,-3.2722346784576057,109.44740083277718,109.44740083277718,109.44740083277718,0.0,0.0,0.0,404.554185027706,Severe
2015-01-14,298.379643779502,319.14660087273654,496.94912714140037,298.379643779502,298.379643779502,106.54419063548364,106.54419063548364,106.54419063548364,1.039818529588693,1.039818529588693,1.039818529588693,105.50437210589496,105.50437210589496,105.50437210589496,0.0,0.0,0.0,404.9238344149856,Severe
2015-01-15,298.3802686856175,313.0934599480939,490.70617698945335,298.3802686856175,298.3802686856175,105.41473875127282,105.41473875127282,105.41473875127282,3.8619801320026417,3.8619801320026417,3.8619801320026417,101.5527586192702,101.5527586192702,101.5527586192702,0.0,0.0,0.0,403.79500743689033,Severe
2015-01-16,298.380893591733,308.2745143981177,493.2171274262801,298.380893591733,298.380893591733,104.11786442631238,104.11786442631238,104.11786442631238,6.482667969732729,6.482667969732729,6.482667969732729,97.63519645657965,97.63519645657965,97.63519645657965,0.0,0.0,0.0,402.4987580180454,Severe
2015-01-17,298.3815184978486,307.0278443486855,481.59671232424114,298.3815184978486,298.3815184978486,95.14904873401328,95.14904873401328,95.14904873401328,1.3567580495093718,1.3567580495093718,1.3567580495093718,93.79229068450391,93.79229068450391,93.79229068450391,0.0,0.0,0.0,393.5305672318619,Very Poor
2015-01-18,298.38214340396416,296.5909261447637,472.07835627272686,298.38214340396416,298.38214340396416,86.72959422332309,86.72959422332309,86.72959422332309,-3.332354994660524,-3.332354994660524,-3.332354994660524,90.06194921798361,90.06194921798361,90.06194921798361,0.0,0.0,0.0,385.11173762728725,Very Poor
2015-01-19,298.38276831007965,296.67399569291393,470.3426984164783,298.38276831007965,298.38276831007965,80.34212573116633,80.34212573116633,80.34212573116633,-6.136635007701092,-6.136635007701092,-6.136635007701092,86.47876073886742,86.47876073886742,86.47876073886742,0.0,0.0,0.0,378.724894041246,Very Poor
2015-01-20,298.3833932161952,293.2174625893276,465.05970604363523,298.3833932161952,298.3833932161952,79.80119268488349,79.80119268488349,79.80119268488349,-3.272234678450861,-3.272234678450861,-3.272234678450861,83.07342736333435,83.07342736333435,83.07342736333435,0.0,0.0,0.0,378.18458590107866,Very Poor
